id,nama_latin,nama_indonesia,nama_inggris,kingdom,phylum,kelas,ordo,family,genus,kategori,sinonim_ilmiah,sumber_data
rambutan,Nephelium lappaceum,rambutan,pulasan,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Nephelium,Magnoliopsida,Dimocarpus crinitus|Euphoria chrysea|Euphoria crinita|Euphoria glabra,GBIF: https://www.gbif.org/species/5421126; Wikidata: http://www.wikidata.org/entity/Q476864
salak,Salacca zalacca,salak,Snakefruit,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Salacca,Liliopsida,Calamus salakka|Calamus zalacca|Salacca blumeana|Salacca edulis,GBIF: https://www.gbif.org/species/2731764; Wikidata: http://www.wikidata.org/entity/Q840615
bakau_minyak,Rhizophora apiculata,Bakau minyak,mangrove,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rhizophoraceae,Rhizophora,Magnoliopsida,Rhizophora candelaria|Rhizophora conjugata,GBIF: https://www.gbif.org/species/3086526; Wikidata: http://www.wikidata.org/entity/Q920906
ketapang,Terminalia catappa,Ketapang,India almond,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Combretaceae,Terminalia,Magnoliopsida,Buceras catappa|Bucida buceras|Juglans catappa|Myrobalanus badamia,GBIF: https://www.gbif.org/species/3189394; Wikidata: http://www.wikidata.org/entity/Q271179
kucing,Felis catus,Kucing Domestik,Domestic Cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Mammalia,Felis catus domestica|Felis domesticus|Felis lybica domestica|Felis maniculata|Felis maniculata domestica,GBIF: https://www.gbif.org/species/2435035; Wikidata: http://www.wikidata.org/entity/Q20980826
harimau,Panthera tigris,harimau,tiger,Animalia,Chordata,Mammalia,Carnivora,Felidae,Panthera,Mammalia,Felis tigris,GBIF: https://www.gbif.org/species/5219416; Wikidata: http://www.wikidata.org/entity/Q19939
orangutan_sumatra,Pongo abelii,Orangutan sumatera,Sumatran orangutan,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Mammalia,Pithecus satyrus abelii|Pithecus satyrus abongensis|Pithecus satyrus deliensis|Pithecus satyrus langkatensis|Simia abelii,GBIF: https://www.gbif.org/species/5707420; Wikidata: http://www.wikidata.org/entity/Q543424
orangutan_kalimantan,Pongo pygmaeus,Orangutan kalimantan,Bornean orangutan,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,Mammalia,Simia pygmaeus,GBIF: https://www.gbif.org/species/5219532; Wikidata: http://www.wikidata.org/entity/Q599672
komodo,Varanus komodoensis,komodo,Komodo dragon,Animalia,Chordata,Reptilia,Squamata,Varanidae,Varanus,Reptilia,-,GBIF: https://www.gbif.org/species/2470854; Wikidata: http://www.wikidata.org/entity/Q4504
jalak_bali,Leucopsar rothschildi,jalak bali,Bali Myna,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Leucopsar,Aves,-,GBIF: https://www.gbif.org/species/2489068; Wikidata: http://www.wikidata.org/entity/Q756868
elang_jawa,Nisaetus bartelsi,Elang jawa,Javan hawk-eagle,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Nisaetus,Aves,Spizaetus bartelsi,GBIF: https://www.gbif.org/species/5788506; Wikidata: http://www.wikidata.org/entity/Q795558
babirusa_sulawesi,Babyrousa celebensis,Babirusa sulawesi-utara,North Sulawesi babirusa,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Babyrousa,Mammalia,Babirussa celebensis|Babyrousa babyrussa celebensis|Babyrousa babyrussa merkusi|Babyrousa merkusi,GBIF: https://www.gbif.org/species/4262912; Wikidata: http://www.wikidata.org/entity/Q1934992
maleo,Macrocephalon maleo,maleo senkawor,Maleo,Animalia,Chordata,Aves,Galliformes,Megapodiidae,Macrocephalon,Aves,-,GBIF: https://www.gbif.org/species/2482154; Wikidata: http://www.wikidata.org/entity/Q836291
gajah_sumatra,Elephas maximus,Gajah Asia,Asian elephant,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Elephas,Mammalia,Elephas asiaticus|Elephas gigas,GBIF: https://www.gbif.org/species/5219461; Wikidata: http://www.wikidata.org/entity/Q133006
badak_jawa,Rhinoceros sondaicus,Badak Sunda,Javan rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,Mammalia,-,GBIF: https://www.gbif.org/species/5220112; Wikidata: http://www.wikidata.org/entity/Q170311
badak_sumatra,Dicerorhinus sumatrensis,badak sumatra,Sumatran rhinoceros,Animalia,Chordata,Mammalia,Perissodactyla,Rhinocerotidae,Dicerorhinus,Mammalia,Didermocerus sumatrensis|Rhinoceros crossii|Rhinoceros sumatrensis,GBIF: https://www.gbif.org/species/2440878; Wikidata: http://www.wikidata.org/entity/Q29220
bekantan,Nasalis larvatus,bekantan,Proboscis Monkey,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Nasalis,Mammalia,Cercopithecus larvatus|Cercopithecus nasica|Nasalis capistratus|Nasalis larvatus orientalis|Nasalis nasica,GBIF: https://www.gbif.org/species/2436525; Wikidata: http://www.wikidata.org/entity/Q192029
yaki,Macaca nigra,monyet hitam sulawesi,Celebes Crested Macaque,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Mammalia,Cynocephalus malayanus|Cynocephalus niger|Cynopithecus lembicus|Cynopithecus niger|Macaca lembicus,GBIF: https://www.gbif.org/species/2436616; Wikidata: http://www.wikidata.org/entity/Q280590
tangkasi,Tarsius tarsier,Tangkasi,Spectral tarsier,Animalia,Chordata,Mammalia,Primates,Tarsiidae,Tarsius,Mammalia,Didelphys macrotarsos|Lemur podje|Lemur spectrum|Lemur tarsier|Macrotarsus buffonii,GBIF: https://www.gbif.org/species/4266949; Wikidata: http://www.wikidata.org/entity/Q859277
anoa_dataran_rendah,Bubalus depressicornis,Anoa Dataran Rendah,Lowland Anoa,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Mammalia,Anoa depressicornis|Bos bubalus anoa|Bubalus anoa,GBIF: https://www.gbif.org/species/8085503; Wikidata: http://www.wikidata.org/entity/Q317393
anoa_pegunungan,Bubalus quarlesi,anoa pegunungan,mountain anoa,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,Mammalia,Anoa quarlesi,GBIF: https://www.gbif.org/species/7846959; Wikidata: http://www.wikidata.org/entity/Q769957
babi_sulawesi,Sus celebensis,Babi varu,Celebes warty pig,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,Mammalia,-,GBIF: https://www.gbif.org/species/2441221; Wikidata: http://www.wikidata.org/entity/Q535406
beruang_madu,Helarctos malayanus,Beruang madu,Sun Bear,Animalia,Chordata,Mammalia,Carnivora,Ursidae,Helarctos,Mammalia,Helarctos euryspilus|Ursus malayanus,GBIF: https://www.gbif.org/species/2433403; Wikidata: http://www.wikidata.org/entity/Q144923
macan_dahan_sunda,Neofelis diardi,Macan dahan Sunda,Sunda clouded leopard,Animalia,Chordata,Mammalia,Carnivora,Felidae,Neofelis,Mammalia,Felis diardi|Neofelis nebulosa diardi,GBIF: https://www.gbif.org/species/5787229; Wikidata: http://www.wikidata.org/entity/Q275163
kucing_kuwuk,Prionailurus bengalensis,Kucing kuwuk,leopard cat,Animalia,Chordata,Mammalia,Carnivora,Felidae,Prionailurus,Mammalia,Felis bengalensis,GBIF: https://www.gbif.org/species/2434903; Wikidata: http://www.wikidata.org/entity/Q42627
ajag,Cuon alpinus,Ajak,dhole,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon,Mammalia,Canis alpinus,GBIF: https://www.gbif.org/species/2434317; Wikidata: http://www.wikidata.org/entity/Q132585
rusa_timor,Rusa timorensis,Rusa Jawa,Javan rusa,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,Mammalia,Cervus celebensis|Cervus hippelaphus|Cervus lepidus|Cervus peronii|Cervus tavistocki,GBIF: https://www.gbif.org/species/4262397; Wikidata: http://www.wikidata.org/entity/Q663412
rusa_bawean,Axis kuhlii,Rusa Bawean,Bawean Deer,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,Mammalia,Axis kuhlii|Axis porcinus kuhli|Cervus kuhlii,GBIF: https://www.gbif.org/species/5220129; Wikidata: http://www.wikidata.org/entity/Q221342
banteng,Bos javanicus,Banteng,Banteng,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,Mammalia,Bos banteng|Bos birmanicus|Bos lowi,GBIF: https://www.gbif.org/species/2441027; Wikidata: http://www.wikidata.org/entity/Q183035
trenggiling,Manis javanica,Trenggiling biasa,Sunda pangolin,Animalia,Chordata,Mammalia,Pholidota,Manidae,Manis,Mammalia,-,GBIF: https://www.gbif.org/species/5219628; Wikidata: http://www.wikidata.org/entity/Q269728
binturong,Arctictis binturong,Binturung,binturong,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Arctictis,Mammalia,Ictides albifrons|Ictides ater|Paradoxurus albifrons|Viverra binturong,GBIF: https://www.gbif.org/species/2434615; Wikidata: http://www.wikidata.org/entity/Q213141
kuskus_beruang_sulawesi,Ailurops ursinus,kuskus beruang sulawesi,Bear Cuscus,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Ailurops,Mammalia,? ursinus|Phalanger ursinus,GBIF: https://www.gbif.org/species/5219990; Wikidata: http://www.wikidata.org/entity/Q209755
kuskus_tutul,Spilocuscus maculatus,Kuskus Tutul,Common spotted cuscus,Animalia,Chordata,Mammalia,Diprotodontia,Phalangeridae,Spilocuscus,Mammalia,Phalanger maculatus|Phalangista maculata|Spilocuscus maculatus,GBIF: https://www.gbif.org/species/9818309; Wikidata: http://www.wikidata.org/entity/Q209548
cenderawasih_besar,Paradisaea apoda,cenderawasih kuning-besar,Greater Bird-of-paradise,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Paradisaea,Aves,-,GBIF: https://www.gbif.org/species/2494862; Wikidata: http://www.wikidata.org/entity/Q325356
cenderawasih_kecil,Paradisaea minor,cenderawasih kuning-kecil,Lesser Bird-of-paradise,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Paradisaea,Aves,-,GBIF: https://www.gbif.org/species/2494859; Wikidata: http://www.wikidata.org/entity/Q332621
cenderawasih_raja,Cicinnurus regius,cenderawasih raja,King Bird-of-paradise,Animalia,Chordata,Aves,Passeriformes,Paradisaeidae,Cicinnurus,Aves,Paradisaea regia,GBIF: https://www.gbif.org/species/2494913; Wikidata: http://www.wikidata.org/entity/Q795507
kakatua_kecil_jambul_kuning,Cacatua sulphurea,kakatua-kecil jambul-kuning,Yellow-crested Cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cacatua,Aves,Cacatura sulphurea|Psittacus sulphureus,GBIF: https://www.gbif.org/species/2479893; Wikidata: http://www.wikidata.org/entity/Q372906
kakatua_raja,Probosciger aterrimus,kakatua raja,Palm Cockatoo,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Probosciger,Aves,Probosciger aterrinus|Psittacus aterrimus,GBIF: https://www.gbif.org/species/2479187; Wikidata: http://www.wikidata.org/entity/Q31501
nuri_kepala_hitam,Lorius lory,kasturi kepala-hitam,Black-capped Lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Lorius,Aves,Psittacus lory,GBIF: https://www.gbif.org/species/2479418; Wikidata: http://www.wikidata.org/entity/Q569758
nuri_merah,Eos bornea,nuri maluku,Red Lory,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eos,Aves,Eos borneo borneo|Eos rubra|Psittacus borneus,GBIF: https://www.gbif.org/species/2479486; Wikidata: http://www.wikidata.org/entity/Q850931
tiong_emas,Gracula religiosa,tiong emas,Common Hill Myna,Animalia,Chordata,Aves,Passeriformes,Sturnidae,Gracula,Aves,-,GBIF: https://www.gbif.org/species/2488999; Wikidata: http://www.wikidata.org/entity/Q337416
rangkong_badak,Buceros rhinoceros,Rangkong badak,Rhinoceros Hornbill,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Buceros,Aves,-,GBIF: https://www.gbif.org/species/2476004; Wikidata: http://www.wikidata.org/entity/Q751036
rangkong_gading,Rhinoplax vigil,Rangkong gading,Helmeted Hornbill,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Rhinoplax,Aves,Buceros vigil,GBIF: https://www.gbif.org/species/2475951; Wikidata: http://www.wikidata.org/entity/Q226043
buaya_muara,Crocodylus porosus,Buaya muara,Saltwater Crocodile,Animalia,Chordata,Crocodylia,Crocodilia,Crocodylidae,Crocodylus,Crocodylia,Crocodilus biporcatus|Crocodilus biporcatus raninus|Crocodilus oopholis|Crocodylus natans|Crocodylus nathani,GBIF: https://www.gbif.org/species/2441333; Wikidata: http://www.wikidata.org/entity/Q182599
buaya_siam,Crocodylus siamensis,Buaya Siam,Siamese crocodile,Animalia,Chordata,Crocodylia,Crocodilia,Crocodylidae,Crocodylus,Crocodylia,Crocodilus galeatus|Crocodylus ossifragus,GBIF: https://www.gbif.org/species/2441348; Wikidata: http://www.wikidata.org/entity/Q208277
penyu_hijau,Chelonia mydas,Penyu hijau,Green Turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Chelonia,Reptilia,Caretta cepedii|Caretta esculenta|Caretta spec|Caretta thunbergi|Chelone mydas,GBIF: https://www.gbif.org/species/2442225; Wikidata: http://www.wikidata.org/entity/Q199458
penyu_sisik,Eretmochelys imbricata,Penyu sisik,hawksbill sea turtle,Animalia,Chordata,Reptilia,Testudines,Cheloniidae,Eretmochelys,Reptilia,Caretta bissa|Caretta rostrata|Caretta squamosa|Chelone imbricata|Chelonia griseam,GBIF: https://www.gbif.org/species/8841716; Wikidata: http://www.wikidata.org/entity/Q203538
sanca_kembang,Malayopython reticulatus,Ular sanca kembang,Reticulated python,Animalia,Chordata,Reptilia,Squamata,Pythonidae,Malayopython,Reptilia,Boa phrygia|Boa reticulata|Boa rhombeata|Broghammerius reticulatus|Broghammerius reticulatus dalegibbonsi,GBIF: https://www.gbif.org/species/9260388; Wikidata: http://www.wikidata.org/entity/Q216136
ular_sendok_jawa,Naja sputatrix,Ular sendok jawa,Javan spitting cobra,Animalia,Chordata,Reptilia,Squamata,Elapidae,Naja,Reptilia,Naja leptocoryphaea,GBIF: https://www.gbif.org/species/2470370; Wikidata: http://www.wikidata.org/entity/Q2703580
duyung,Dugong dugon,Dugong,dugong,Animalia,Chordata,Mammalia,Sirenia,Dugongidae,Dugong,Mammalia,Dugong dugon|Dugong dugon dugon|Dugong dugon hemprichii|Dugong dugon tabernaculi|Dugong dugong,GBIF: https://www.gbif.org/species/9729967; Wikidata: http://www.wikidata.org/entity/Q129544
ikan_raja_laut,Latimeria menadoensis,Coelacanth Indonesia,Sulawesi Coelacanth,Animalia,Chordata,Coelacanthi,Coelacanthiformes,Latimeriidae,Latimeria,Coelacanthi,-,GBIF: https://www.gbif.org/species/2441276; Wikidata: http://www.wikidata.org/entity/Q1156533
arwana_asia,Scleropages formosus,Arwana Asia,Asian arowana,Animalia,Chordata,Teleostei,Osteoglossiformes,Osteoglossidae,Scleropages,Teleostei,Osteoglossum formosum|Scleropages aureus|Scleropages legendrei|Scleropages macrocephalus,GBIF: https://www.gbif.org/species/2402231; Wikidata: http://www.wikidata.org/entity/Q728584
kupu_kupu_sayap_burung_wallace,Ornithoptera croesus,Kupu Kupu Sayap Burung Wallace,Wallace's Golden Birdwing,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Ornithoptera,Insecta,Ornithoptera croesus toeantei|Ornithoptera croesus wallacei,GBIF: https://www.gbif.org/species/1937481; Wikidata: http://www.wikidata.org/entity/Q1757731
kupu_kupu_sayap_burung_surga,Ornithoptera paradisea,Kupu-kupu sayap-burung surga,Paradise Birdwing,Animalia,Arthropoda,Insecta,Lepidoptera,Papilionidae,Ornithoptera,Insecta,Troides paradisea|Troides paradiseus caliginosa,GBIF: https://www.gbif.org/species/1937484; Wikidata: http://www.wikidata.org/entity/Q1756827
